"conc","temp"
0,26.4544783303244
0.499999999999998,26.5096347488366
0.999999999999996,26.453701477161
1.5,26.2976330391838
2,26.0527699502978
2.5,25.7306490143475
3,25.3428259284923
3.5,24.9007118381973
4,24.4154251624938
4.5,23.8976596894955
5,23.357569628593
5.5,22.8046720031083
6,22.2477664793587
6.5,21.6948724585029
7,21.1531830091716
7.5,20.6290349941736
8,20.1278945454528
8.5,19.6543568693763
9,19.2121592202731
9.5,18.8042057643396
10,18.4326029685299
10.5,18.0987040893636
11,17.8031613038015
11.5,17.5459840171801
12,17.3266019000483
12.5,17.1439312447152
13,16.9964432912556
13.5,16.8822332493042
14,16.799088833723
14.5,16.7445572365958
15,16.7160095723672
15.5,16.7107019547009
16,16.7258324902163
16.5,16.7585936031917
17,16.8062192342396
17.5,16.8660265826606
18,16.9354521846357
18.5,17.0120822358224
19,17.0936771756665
19.5,17.178190650487
20,17.2637830620338
20.5,17.3488299868915
21,17.4319258192223
21.5,17.5118830445423
22,17.5877275954027
22.5,17.658690771107
23,17.724198223265
23.5,17.7838565175728
24,17.8374377804046
24.5,17.8848629274394
25,17.9261839515688
25.5,17.9615657198091
26,17.9912676949778
26.5,18.0156259586738
27,18.035035868804
27.5,18.0499356387143
28,18.0607910770714
28.5,18.0680816791125
29,18.07228821178
29.5,18.0738818885483
30,18.0733151852981
30.5,18.0710143071557
31,18.0673732784248
31.5,18.0627495941234
32,18.0574613425819
32.5,18.051785684321
33,18.0459585531642
33.5,18.0401754312519
34,18.0345930402353
34.5,18.0293317862385
35,18.0244787958966
35.5,18.0200913845412
36,18.0162008049781
36.5,18.0128161357905
37,18.009928181182
37.5,18.0075132694915
38,18.0055368541043
38.5,18.0039568379891
39,18.0027265609733
39.5,18.0017974066042
40,18.0011210025682
40.5,18.0006510047254
41,18.0003444694923
41.5,18.0001628322717
42,18.0000725206469
42.5,18.0000452399598
43,18.0000579755854
43.5,18.0000927606718
44,18.0001362603717
44.5,18.0001792237648
45,18.0002158529015
45.5,18.0002431349184
46,18.0002601782194
46.5,18.0002675875838
47,18.0002669060497
47.5,18.0002601438634
48,18.0002494069959
48.5,18.0002366300434
49,18.000223411034
49.5,18.0002109390633
50,18.0002
50.5,18.00019104097
51,18.0001842710951
51.5,18.0001797741475
52,18.0001776084493
52.5,18.0001778704982
53,18.0001807013954
53.5,18.0001862190829
54,18.0001943645169
54.5,18.0002046560182
55,18.0002158529015
55.5,18.000225536836
56,18.0002296269202
56.5,18.0002218518615
57,18.0001932096027
57.5,18.0001314509243
58,18.0000206286575
58.5,17.9998407578855
59,17.9995676346311
59.5,17.9991728608143
60,17.9986241215489
60.5,17.9978857570069
61,17.9969196650851
61.5,17.9956865629476
62,17.9941476252941
62.5,17.9922665050581
63,17.9900117283958
63.5,17.987359440573
64,17.9842964630474
64.5,17.9808236050807
65,17.9769591560598
65.5,17.9727424678585
66,17.9682375205511
66.5,17.9635363501502
67,17.9587622043306
67.5,17.9540722818565
68,17.9496599041786
68.5,17.9457559638857
69,17.9426294948136
69.5,17.9405872130036
70,17.9399718866419
70.5,17.9411594068061
71,17.9445544493853
71.5,17.9505846419141
72,17.9596931771411
72.5,17.9723298476801
73,17.9889405127019
73.5,18.0099550478002
74,18.0357738723063
74.5,18.0667531936755
75,18.1031891552978
75.5,18.1453011212457
76,18.1932143780417
76.5,18.2469425784264
77,18.3063702941887
77.5,18.3712360832264
78,18.4411165089726
78.5,18.5154115769957
79,18.5933320728637
79.5,18.6738892962178
80,18.7558876874884
80.5,18.8379208349894
81,18.9183713305724
81.5,18.9954149111027
82,19.0670292804131
82.5,19.1310079519936
83,19.1849793865914
83.5,19.2264316214734
84,19.2527424999386
84.5,19.2612155115872
85,19.2491211469607
85.5,19.2137435557801
86,19.1524321777078
86.5,19.0626578901263
87,18.9420730908609
87.5,18.7885750072445
88,18.6003713987617
88.5,18.3760477011566
89,18.1146345478717
89.5,17.8156745025886
90,17.4792867470159
90.5,17.1062283934673
91,16.6979510346118
91.5,16.2566511053621
92,15.7853126163033
92.5,15.2877408262184
93,14.7685854547313
93.5,14.2333520961138
94,13.6884005827865
94.5,13.1409291624605
95,12.5989434962587
95.5,12.0712096561017
96,11.56719049722
96.5,11.0969650044569
97,10.6711304571127
97.5,10.3006875240337
98,9.9969086855246
98.5,9.77119067805389
99,9.63489196776272
99.5,9.59915657520222
100,9.67472589185349
